Geographic Area,Total Population (As Estimated April 2019),Total Cases,Total Deaths,Currently Active Cases,Recovered ,Total Tests
Alabama,4903185,9046,369,1934,6743,116319
Alaska,731545,374,10,170,194,24341
Arizona,7278717,9945,450,2371,7124,111086
Arkansas,3017804,3694,88,772,2834,63994
California,39512223,62250,2535,14739,44976,842874
Colorado,5758736,18371,944,4982,12445,92267
Connecticut,3565287,31784,2797,6650,22337,116174
Delaware,973764,5939,202,697,5040,27326
Florida,21477737,38828,1600,13275,23953,495075
Georgia,10617423,31580,1348,7054,23178,217303
Guam,"164,229",151,5,90,56,605
Hawaii,1415872,629,17,293,319,37712
Idaho,1787065,2178,67,1157,954,31099
Illinois,12671821,70873,3111,11905,55857,379043
Indiana,6732219,22503,1414,4791,16298,124782
Iowa,3155070,11059,231,853,9975,66427
Kansas,2913314,6332,165,820,5347,42114
Kentucky,4467673,6128,294,643,5191,81391
Louisiana,4648794,30652,2208,14305,14139,200767
Maine,1344212,1330,62,331,937,23346
Maryland,6045680,29374,1503,3770,24101,148600
Massachusetts,6892503,73721,4552,13567,55602,351632
Michigan,9986857,45646,4343,16425,24878,254239
Minnesota,5639632,9365,508,486,8371,97421
Mississippi,2976149,8686,396,1687,6603,80308
Missouri,6137428,9482,448,2658,6376,103622
Montana,1068778,457,16,281,160,20247
Nebraska,1934408,7190,90,404,6696,40482
Nevada,3080156,5766,293,1871,3602,63708
New Hampshire,1359711,2843,114,555,2174,30836
New Jersey,8882190,135106,8834,39995,86277,290966
New Mexico,2096829,4493,172,620,3701,85684
New York,19453561,337421,26365,113792,197264,1089916
North Carolina,10488084,13518,513,2905,10100,171328
North Dakota,762062,1371,31,148,1192,40867
Northern Mariana Islands,"55,144",15,2,7,6,948
Ohio,11689100,22134,1274,4308,16552,175060
Oklahoma,3956971,4330,260,893,3177,87259
Oregon,4217737,2989,121,1103,1765,70425
Pennsylvania,12801989,56002,3592,12872,39538,273875
Puerto Rico,3193694,2031,102,488,1441,13022
Rhode Island,1059361,10530,388,1045,9097,79373
South Carolina,5148714,7142,316,2184,4642,77482
South Dakota,884659,2905,31,193,2681,19022
Tennessee,6829174,14096,239,3381,10476,236328
Texas,28995881,36521,1027,7179,28315,459182
US Virgin Islands,"107,268",66,4,8,54,1093
Utah,3205958,5724,61,1636,4027,134543
Vermont,623989,916,53,520,343,18541
Virginia,8535519,21570,769,2822,17979,136558
Washington,7614893,16943,904,7106,8933,230680
West Virginia,1792147,1297,51,341,905,57995
Wisconsin,5822434,9215,374,2361,6480,102250
Wyoming,578759,635,7,160,468,12007
,,,,,,
United States,331054109,1263146,75670,335603,851873,8149544
,,,,,,
,,,,,,
